ja	desc
インペトゥス	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
メセクテトの旅路	１ターンの間、攻撃を受ける度、対象に小威力の万能属性攻撃で反撃し、対象を暗黒状態にする
323	323
324	324
死蠅の葬列	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
秩序の光	専用スキル／<skill_tgt>のＨＰを小回復する。能力低下を消去し、３ターンの間、全能力を１段階上昇させる
原初の混沌	専用スキル／<skill_tgt>に大威力の<skill_elm 0>属性攻撃。能力上昇を消去し、３ターンの間、全能力を１段階低下させる
銀河烈星拳	専用スキル／<skill_tgt>に<skill_maxhit>回小威力の<skill_elm 0>属性攻撃
神の業火	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
神の雹撃	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
神の雷光	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
神の竜巻	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
Ｃ・ダークマター	３ターンの間、自身の防御力を最大まで強化する
Ｈ・ダークマター	３ターンの間、自身の攻撃力を最大まで強化する
至高の魔弾	<skill_tgt>に力依存による特大威力の<skill_elm 0>属性攻撃。クリティカル率が高い
地母の晩餐	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
マグマ・アクシス	<skill_tgt>に<skill_minhit>～<skill_maxhit>回中威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
ジャベリンレイン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
ゼロス・ビート	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
死亡遊戯	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
原色の舞踏	<skill_tgt>に確率で<skill_bst 0>を付加する
神の眼光	次の自ターンのプレスターンアイコンを２個増加させる
神の磔刑	３ターンの間、<skill_tgt>の全能力を最低まで低下させる
344	344
禍時：溜力	ターン中、<skill_tgt>に全てのチャージ効果が行動後に解除されず維持される効果を付与する
346	346
落星	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
落星	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
明けの明星	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
アタック	350
351	351
ディア	<skill_tgt>のＨＰを小回復する
ディアラマ	<skill_tgt>のＨＰを中回復する
メディア	<skill_tgt>のＨＰを小回復する
メディラマ	<skill_tgt>のＨＰを中回復する
蓄雷	<skill_tgt>に次に行う天龍雷公のダメージを上昇させるチャージ効果を付与する
実像分身	分身を生み出す
虚像分身	分身を生み出す
天龍雷公	359
天龍雷公	360
天龍雷公	361
天龍雷公	362
物理ブロック	１ターンの間、<skill_tgt>に物理属性攻撃を１度だけ無効化する効果を付与する
火炎ブロック	１ターンの間、<skill_tgt>に火炎属性攻撃を１度だけ無効化する効果を付与する
氷結ブロック	１ターンの間、<skill_tgt>に氷結属性攻撃を１度だけ無効化する効果を付与する
電撃ブロック	１ターンの間、<skill_tgt>に電撃属性攻撃を１度だけ無効化する効果を付与する
衝撃ブロック	１ターンの間、<skill_tgt>に衝撃属性攻撃を１度だけ無効化する効果を付与する
破魔ブロック	１ターンの間、<skill_tgt>に破魔属性攻撃を１度だけ無効化する効果を付与する
呪殺ブロック	１ターンの間、<skill_tgt>に呪殺属性攻撃を１度だけ無効化する効果を付与する
至高の魔弾	<skill_tgt>に力依存による特大威力の<skill_elm 0>属性攻撃。クリティカル率が高い
地母の晩餐	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
ジャベリンレイン	ナホビノ専用／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
死亡遊戯	ナホビノ専用／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。必ずクリティカルになる
混沌の理	専用スキル／<skill_tgt>を一定確率で瀕死にし、次の相手ターンのプレスターンアイコンを半減させる
375	375
376	376
377	377
狂乱の神輝	専用スキル／<skill_tgt>に<skill_minhit>～<skill_maxhit>回小威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>・<skill_bst 1>を付加する
万物粉砕	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。３ターンの間、攻撃力と防御力を１段階低下させる
集うマガツヒ	380
ディア	<skill_tgt>のＨＰを小回復する
ディアラマ	<skill_tgt>のＨＰを中回復する
メディア	<skill_tgt>のＨＰを小回復する
メディラマ	<skill_tgt>のＨＰを中回復する
ディア	<skill_tgt>のＨＰを小回復する
ディアラマ	<skill_tgt>のＨＰを中回復する
387	387
忿怒の暴圧	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
天魔撃砕	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。３ターンの間、防御を１段階低下
悪しき輝き	<skill_tgt>に確率で<skill_bst 0>を付加する
391	391
ソニックブーム	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
393	393
地母の晩餐	ナホビノ専用／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
混沌の理	ナホビノ専用／<skill_tgt>を一定確率で瀕死にし、次の相手ターンのプレスターンアイコンを半減させる
396	396
ジャベリンレイン	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
死亡遊戯	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。必ずクリティカルになる
大いなる嘆願	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>・<skill_bst 1>を付加する。対象が状態異常時、威力が上昇
400	400
物理耐性	物理属性攻撃に対する耐性を強化する
物理無効	物理属性攻撃を無効化する
物理吸収	物理属性攻撃を吸収する
物理反射	物理属性攻撃を反射する
火炎耐性	火炎属性攻撃に対する耐性を強化する
火炎無効	火炎属性攻撃を無効化する
火炎吸収	火炎属性攻撃を吸収する
火炎反射	火炎属性攻撃を反射する
氷結耐性	氷結属性攻撃に対する耐性を強化する
氷結無効	氷結属性攻撃を無効化する
氷結吸収	氷結属性攻撃を吸収する
氷結反射	氷結属性攻撃を反射する
電撃耐性	電撃属性攻撃に対する耐性を強化する
電撃無効	電撃属性攻撃を無効化する
電撃吸収	電撃属性攻撃を吸収する
電撃反射	電撃属性攻撃を反射する
衝撃耐性	衝撃属性攻撃に対する耐性を強化する
衝撃無効	衝撃属性攻撃を無効化する
衝撃吸収	衝撃属性攻撃を吸収する
衝撃反射	衝撃属性攻撃を反射する
呪殺耐性	呪殺属性攻撃に対する耐性を強化する
呪殺無効	呪殺属性攻撃を無効化する
呪殺吸収	呪殺属性攻撃を吸収する
呪殺反射	呪殺属性攻撃を反射する
破魔耐性	破魔属性攻撃に対する耐性を強化する
破魔無効	破魔属性攻撃を無効化する
破魔吸収	破魔属性攻撃を吸収する
破魔反射	破魔属性攻撃を反射する
勝利の小息吹	戦闘勝利時にＨＰが小回復する
勝利の息吹	戦闘勝利時にＨＰが回復する
勝利の小チャクラ	戦闘勝利時にＭＰが小回復する
勝利のチャクラ	戦闘勝利時にＭＰが回復する
433	433
反撃	力依存攻撃を受けた時、確率で小威力の物理攻撃で反撃する
猛反撃	力依存攻撃を受けた時、確率で中威力の物理攻撃で反撃する。反撃と効果は重複しない
天逆撃	専用スキル／力依存攻撃を受けた時、確率で小威力呪殺攻撃で反撃し、３ターン対象攻撃力を１段階低下させる
活脈	最大ＨＰを上昇させる
大活脈	最大ＨＰを大きく上昇させる
魔脈	最大ＭＰを上昇させる
大魔脈	最大ＭＰを大きく上昇させる
呪いの還元	状態異常を付加した時、ＭＰが小回復する
呪いの大還元	状態異常を付加した時、ＭＰが回復する
食いしばり	戦闘中１度だけ、ＨＰが０になる攻撃を受けた時にＨＰ１で耐える
不屈の闘志	戦闘中１度だけ、ＨＰが０になる攻撃を受けた時に耐え、ＨＰが全回復する
445	445
446	446
会心専心	クリティカル時のダメージが上昇する代わりに通常時のダメージが低下する
448	448
449	449
底根ノ御守	ナホビノ専用／ＨＰとＭＰが３０上昇する
朧月	ナホビノ専用／回避率が少し上昇。攻撃を回避した時、相性を無視して貫通する特大威力の物理攻撃で反撃する
閏月	ナホビノ専用／自身が攻撃を回避する度に次のターン開始時に点滅プレスターンアイコンが１つ追加される
453	453
454	454
455	455
456	456
457	457
458	458
459	459
460	460
461	461
462	462
463	463
リストア	自身が弱点かクリティカルを発生させると、ＭＰが小回復する
ハイリストア	自身が弱点かクリティカルを発生させると、ＭＰが回復する
466	466
467	467
延長強化	自身が使う能力上昇・低下効果の効果時間が１ターン延長される
延長強化・大	自身が使う能力上昇・低下効果の効果時間が２ターン延長される
毒の使い手	毒の威力を上昇させる
猛毒使い	毒の威力を大きく上昇させる
セーフティ	自分の攻撃が回避・無効・吸収・反射されてもプレスターンアイコンの消費が増加しなくなる
473	473
地獄のマスク	状態異常になる、及び瀕死になる確率を減少させる
奈落のマスク	状態異常になる、及び瀕死になる確率を大きく減少させる
476	476
忠義の励み	仲魔専用／ナホビノよりＬｖが低い時、経験値の入手量が増加する
獣眼	命中率を上昇させる
龍眼	命中率を大きく上昇させる
コロシの愉悦	クリティカル率を上昇させる
ミナゴロシの愉悦	クリティカル率を大きく上昇させる
482	482
483	483
484	484
485	485
486	486
487	487
488	488
物理プレロマ	物理属性で与えるダメージを上昇させる
物理ギガプレロマ	物理属性で与えるダメージを大きく上昇させる
火炎プレロマ	火炎属性で与えるダメージを上昇させる
火炎ギガプレロマ	火炎属性で与えるダメージを大きく上昇させる
氷結プレロマ	氷結属性で与えるダメージを上昇させる
氷結ギガプレロマ	氷結属性で与えるダメージを大きく上昇させる
電撃プレロマ	電撃属性で与えるダメージを上昇させる
電撃ギガプレロマ	電撃属性で与えるダメージを大きく上昇させる
衝撃プレロマ	衝撃属性で与えるダメージを上昇させる
衝撃ギガプレロマ	衝撃属性で与えるダメージを大きく上昇させる
回復プレロマ	回復魔法の効果を上昇させる
回復ギガプレロマ	回復魔法の効果を大きく上昇させる
呪殺プレロマ	呪殺属性で与えるダメージを上昇させる
呪殺ギガプレロマ	呪殺属性で与えるダメージを大きく上昇させる
破魔プレロマ	破魔属性で与えるダメージを上昇させる
破魔ギガプレロマ	破魔属性で与えるダメージを大きく上昇させる
万能プレロマ	万能属性で与えるダメージを上昇させる
万能ギガプレロマ	万能属性で与えるダメージを大きく上昇させる
507	507
508	508
509	509
再起の貫撃	自身の攻撃が無効・吸収・反射された際、確率で自身に「貫く闘気」が付与される
放雷	雷公従器が倒された時、小威力の雷撃属性攻撃で反撃する
512	512
513	513
514	514
515	515
516	516
517	517
518	518
519	519
520	520
521	521
522	522
523	523
524	524
525	525
526	526
527	527
528	528
529	529
530	530
マガツヒの還元	戦闘中、マガツヒゲージがマックスになった時、アクティブの味方全体のＭＰが少量回復する　
流離うもの	アクティブにいる間、遺物が再入手可能になるまでの時間が短くなる
悪魔の仲立ち	アクティブにいる間、悪魔会話で悪魔が気を悪くした時、確率で割り込み、仲を取り持ってくれる
色仕掛け	アクティブにいる間、悪魔会話時に確率で割り込み、要求物を軽くするよう促す
謀略の母	ＣＨＡＮＧＥ時、交代先の仲魔が「魔神」の場合、自身にかかっている全効果を交代先に付与する
怪物の贄	ＣＨＡＮＧＥ時、交代先の仲魔が「破壊神」か「龍王」の場合、自身にかかっている全効果を交代先に付与する
円満隠居	ＣＨＡＮＧＥ時、交代先の仲魔が「幻魔」の場合、自身にかかっている全効果を交代先に付与する
黙示の四騎士	ＣＨＡＮＧＥ時、交代先の仲魔が「黙示の四騎士」を持つ場合、自身にかかっている全効果を交代先に付与する
岩戸開きの舞	ＣＨＡＮＧＥ時、自身にかかっている能力上昇・低下効果を交代先に付与する
知恵のルーン	ＣＨＡＮＧＥ時、交代先に次に行う力依存攻撃のダメージを上昇させるチャージ効果を付与する
ラーの目	ＣＨＡＮＧＥ時、交代先に次に行う魔依存攻撃のダメージを上昇させるチャージ効果を付与する
仕込み叢雲	ＣＨＡＮＧＥ時、交代先に次に行う力依存の攻撃が必中かつクリティカルになるチャージ効果を付与する
ウジャトの目	ＣＨＡＮＧＥ時、交代先に次に行う全攻撃ダメージが上昇し、相性を無視して貫通するチャージ効果を付与する
ノルンの瞬き	自身の行動でストックに戻る時、プレスターンアイコンを消費しない
復活の大応援	戦闘中一度だけ、ストックから召喚された時、３ターンの間、味方全体の全能力を１段階上昇させる
妖精王の魔笛	戦闘中ストックから召喚された時、味方全体の能力低下効果を消去する
審判の魔笛	戦闘中ストックから召喚された時、自身以外の敵味方全体の能力上昇・低下効果を消去する
天逆唄	戦闘中ストックから召喚された時、自身以外の味方の能力上昇・低下効果を反転させる
放埓なる反逆者	戦闘中ストックから召喚された時、３ターンの間、自身以外の敵味方全体の防御力を１段階低下させる
強者の威圧	戦闘中ストックから召喚された時、３ターンの間、自身以外の敵味方全体の攻撃力を１段階低下させる
日蝕の１６ｔ	戦闘中ストックから召喚された時、３ターンの間、自身以外の敵味方全体の命中・回避率を１段階低下させる
修復の９日間	マガツヒゲージがマックスでない間、自身の攻撃で弱点をついた時のダメージが上昇する
竜血の知恵	アクティブに「邪龍」「龍神」「龍王」のいずれかがいる時、自身の命中率とクリティカル率が上昇する
ビヨンデッタ	アクティブに「大天使」「女神」「鬼女」「地母神」がいない時、自身の使う能力低下効果が２段階になる
簒奪の野心	敵かアクティブに「魔王」「龍王」のいずれかがいる時、自身は魔法攻撃でも確率でクリティカルが発生する
粛清の刃	敵かアクティブに「堕天使」がいる時、自身が弱点をついた時のダメージが上昇する
テスモポリア祭	アクティブにいる間、味方の「地母神」「女神」「鬼女」は魔法攻撃でも確率でクリティカルが発生する
代役猛犬	アクティブにいる間、自身と味方の「神獣」「聖獣」「魔獣」「妖獣」はクリティカルダメージが上昇する
ナーガローカ	アクティブにいる間、味方の「邪龍」「龍神」「龍王」は弱点をついた時のダメージが上昇する
１万２千の焔	アクティブにいる間、味方の「破壊神」「天使」「大天使」は弱点をついた時のダメージが上昇する
火炎の分星	アクティブにいる間、味方の「ルシファー」の火炎属性の防御相性が弱点に変化する
氷結の分星	アクティブにいる間、味方の「ルシファー」の氷結属性の防御相性が弱点に変化する
四大の分星	アクティブにいる間、味方の「ルシファー」の火炎・氷結・電撃・衝撃属性の防御相性が弱点に変化する
にゃん２ブロー	アクティブに自身以外の「にゃん２ブロー」を持つ仲魔がいる時、自身の攻撃で与えるダメージが上昇する
七宿連星神	アクティブに「七宿連星神」を持つ仲魔がいる時、互いのスキル適性がより優れているものになる
四鬼	アクティブの「四鬼」を持つ仲魔の数が多いほど、自身のチャージ効果とクリティカルダメージが上昇する
四天王	アクティブに「四天王」を持つ仲魔がいる時、ストックから召喚時に３ターンの間、自身の全能力が２段階上昇
大天使の号令	アクティブの「大天使の号令」を持つ仲魔の数が多いほど、自身の行動時にマガツヒゲージが上昇する
ベストフレンド	アクティブに「待ちぼうけ」を持つ仲魔がいる時、自身の使う能力低下効果が２段階になる
待ちぼうけ	アクティブに「ベストフレンド」を持つ仲魔がいる時、自身は行動時にＨＰとＭＰを少量回復する
大穴牟遅の教え	戦闘中アクティブに自身と「国津神」がいる時、味方全体は回復・補助スキルの消費ＭＰが減少する　
武芸の師	アクティブに「代役猛犬」を持つ仲魔がいる時、自身のスキル適性がプラスである属性の攻撃が必中になる
モイラの糸	アクティブに自身と「クロト」「アトロポス」がいる時、味方全体の能力上昇・低下の効果時間が減らなくなる
モイラのハサミ	アクティブに自身と「クロト」「ラケシス」がいる時、味方全体は弱点をついた敵を確率で瀕死にする
モイラの紡ぎ車	戦闘中アクティブに自身と「ラケシス」「アトロポス」がいる時、味方全体の消費ＭＰが減少する
鉄壁の守り	アクティブにいる間、味方の「ラフム」は攻撃対象にならない
動乱の施し	アクティブにいる間、戦闘終了後、ストックにいる瀕死の味方はＨＰ１で復帰する
灼熱の涙王	アクティブにいる間、味方全体は火炎属性攻撃を使用時、確率でクリティカルが発生する
ヴィーナーラーガ	アクティブにいる間、味方全体は氷結属性攻撃を使用時、確率でクリティカルが発生する
天候平穏祈願	アクティブにいる間、味方全体は電撃属性攻撃を使用時、確率でクリティカルが発生する
豊穣の息吹	アクティブにいる間、味方全体は衝撃属性攻撃を使用時、確率でクリティカルが発生する
主天使の秤	アクティブにいる間、味方全体は破魔属性攻撃を使用時、確率でクリティカルが発生する
漆黒の流星	アクティブにいる間、味方全体は呪殺属性攻撃を使用時、確率でクリティカルが発生する
栄光の祈り	アクティブにいる間、味方全体は万能属性攻撃を使用時、確率でクリティカルが発生する
破滅の猛毒	アクティブにいる間、味方全体は状態異常の敵に対して魔法攻撃でも確率でクリティカルが発生する
天命授与	アクティブにいる間、味方全体はスキル適性がプラスであれば、魔法攻撃でも確率でクリティカルが発生する
死に至る病	アクティブにいる間、味方全体は状態異常の敵に対して命中率とクリティカル率が上昇する
連なる厄災	アクティブにいる間、味方全体は状態異常の敵に対して、弱点をついた時のダメージが上昇する
才子多病	アクティブにいる間、味方全体は弱点をついた時のダメージが上昇するが、状態異常が付着しやすくなる
必殺の調べ	アクティブにいる間、味方全体は物理属性でのクリティカルダメージが上昇する
烈火の調べ	アクティブにいる間、味方全体は火炎属性で弱点をついた時に与えるダメージが上昇する
凍空の調べ	アクティブにいる間、味方全体は氷結属性で弱点をついた時に与えるダメージが上昇する
稲妻の調べ	アクティブにいる間、味方全体は電撃属性で弱点をついた時に与えるダメージが上昇する
旋風の調べ	アクティブにいる間、味方全体は衝撃属性で弱点をついた時に与えるダメージが上昇する
断罪の調べ	アクティブにいる間、味方全体は破魔属性で弱点をついた時に与えるダメージが上昇する
真宵の調べ	アクティブにいる間、味方全体は呪殺属性で弱点をついた時に与えるダメージが上昇する
癒しの調べ	戦闘中アクティブにいる間、味方全体は回復スキルの消費ＭＰが減少する　
良き助言者	戦闘中アクティブにいる間、味方全体は補助スキルの消費ＭＰが減少する　
物理の増幅	アクティブにいる間、自身より物理属性のスキル適性が低い味方は自身と同等まで適性が上昇する
火炎の増幅	アクティブにいる間、自身より火炎属性のスキル適性が低い味方は自身と同等まで適性が上昇する
氷結の増幅	アクティブにいる間、自身より氷結属性のスキル適性が低い味方は自身と同等まで適性が上昇する
電撃の増幅	アクティブにいる間、自身より電撃属性のスキル適性が低い味方は自身と同等まで適性が上昇する
衝撃の増幅	アクティブにいる間、自身より衝撃属性のスキル適性が低い味方は自身と同等まで適性が上昇する
破魔の増幅	アクティブにいる間、自身より破魔属性のスキル適性が低い味方は自身と同等まで適性が上昇する
呪殺の増幅	アクティブにいる間、自身より呪殺属性のスキル適性が低い味方は自身と同等まで適性が上昇する
罪と罰	自身が弱点かクリティカルで攻撃を受けた回数分、次の味方ターン開始時に点滅アイコンが１個増加
三都破壊	戦闘中アクティブにいる間、味方全体はチャージ中、スキルの消費ＭＰが減少する　
メガロマニア	アクティブにいる間、味方全体はチャージ効果が行動後に確率で解除されずに維持される
禁じられた言葉	アクティブにいる間、敵味方全体は状態異常及び瀕死の付加率が増加し、更に自然回復がしにくくなる
厄除けのお守り	アクティブにいる間、味方全体の状態異常が自然回復しやすくなる
七頭のケダモノ	味方が召喚されたターンの終了時に自身がアクティブにいる場合、確率で味方全体のＭＰが少量回復する
チャンチャラー	アクティブにいる間、攻撃力が２段階上昇している味方は魔法攻撃でも確率でクリティカルが発生する
豊穣の地	アクティブにいる間、防御力が２段階上昇している味方は弱点相性以外へのダメージが減少する
開運予見	アクティブにいる間、命中・回避率が２段階上昇している味方はクリティカル率が上昇する
たたら踏み	アクティブにいる間、狙われ率上昇効果がついた味方は受けるダメージが減少し、回避率も上昇する
気合の合成	アクティブにいる間、狙われ率上昇効果がついた味方はＨＰが０になる攻撃を受けた時、確率でＨＰ１で耐える
客人歓待	アクティブにいる間、召喚された味方の補助状態を自身と同じにする
聖女の祈り	アクティブにいる間、味方はストックに戻ると状態異常が回復する
異常酩酊の宴	アクティブにいる間、状態異常の味方は攻撃で与えるダメージが上昇する
煩悩コントロール	アクティブにいる間、魅了状態の味方は指定した行動を取りやすくなる
前線の柔軟指揮	アクティブにいる間、混乱状態の味方は指定した行動を取りやすくなる
真夏の夜の夢	アクティブにいる間、ナホビノはＨＰが０になった時、確率でストックの味方を身代わりにＨＰ全快で復活する
生贄交代	アクティブにいる間、自身はＨＰが０になった時、確率でストックの味方を身代わりにＨＰ全快で復活する
穣りの代償	アクティブにいる間、自身以外の味方が瀕死になった時、味方全体のＨＰを小回復する
善なる十字架	アクティブにいる間、自身以外の味方瀕死時、戦闘中一度だけ３ターンの間、敵全体の全能力を最低まで低下
屠神解体	アクティブにいる間、自身以外の味方瀕死時、全生存者の補助状態を瀕死者と同じにする
松柏之操	アクティブにいる間、自身が瀕死になった時、味方全体のＨＰを小回復する
献身の心	アクティブにいる間、自身が瀕死になった時、味方全体のＭＰを小回復する
闇の象徴	アクティブにいる間、自身が瀕死になった時、戦闘中一度だけ３ターンの間、味方全体の全能力を最大まで上昇
イカサマ	アクティブにいる間、味方全体は確率効果のユニークスキルが発動しやすくなる
輝きの龍鱗	アクティブにいる間、「禍時」効果中の味方は味方の攻撃のヒット数が多いほど、与えるダメージが上昇する
狂嵐の宴	アクティブにいる間、「禍時」効果中の味方は多段攻撃使用時、命中率と最大ヒット数が上昇する
神の僕	アクティブにいる間、「禍時」効果中の味方は行動する度に自身のＭＰを少量回復する
お天気屋	「禍時」効果中、自身のスキル適性がプラスである属性の攻撃で弱点をついた時、必ずクリティカルが発生する
死の恐怖	「禍時」効果中、自身のスキル適性がプラスの攻撃スキルのダメージが上昇し、確率で瀕死効果が付与される
魔法の竪琴	「禍時」効果中、自身のスキル適性がプラスの攻撃スキルに確率で睡眠・瀕死にする効果が付与される
ウィルスキャリー	「禍時」効果中、自身の行動により状態異常が付加された時、プレスターンアイコンを消費しない
知恵の解放	自身がマガツヒスキル使用時、味方全体のＭＰが少量回復する
反射する巨象	自身の弱点の数が多いほど、反射で与えるダメージが上昇する
あるがままに	アクティブにいる味方の弱点の数が多いほど、自身のクリティカル率が上昇する
仇なす怪力	アクティブにいる味方の弱点の数が多いほど、自身のクリティカルダメージが上昇する
相乗分身	アクティブにいる分身の数が多いほど、自身の攻撃で与えるダメージが上昇する
ヘルケイオス	ストックに生存している味方が多いほど、自身の電撃属性攻撃の命中率とクリティカル率が上昇する
復讐代行	ストックの瀕死になっている味方が多いほど、自身の攻撃で与えるダメージが上昇する
百発百中	自身の攻撃の命中率が著しく上昇する
物理のノウハウ	自身を除くアクティブの物理属性のスキル適性が高いほど、自身の物理属性スキルのダメージが上昇する
火炎のノウハウ	自身を除くアクティブの火炎属性のスキル適性が高いほど、自身の火炎属性スキルのダメージが上昇する
氷結のノウハウ	自身を除くアクティブの氷結属性のスキル適性が高いほど、自身の氷結属性スキルのダメージが上昇する
電撃のノウハウ	自身を除くアクティブの電撃属性のスキル適性が高いほど、自身の電撃属性スキルのダメージが上昇する
衝撃のノウハウ	自身を除くアクティブの衝撃属性のスキル適性が高いほど、自身の衝撃属性スキルのダメージが上昇する
破魔のノウハウ	自身を除くアクティブの破魔属性のスキル適性が高いほど、自身の破魔属性スキルのダメージが上昇する
呪殺のノウハウ	自身を除くアクティブの呪殺属性のスキル適性が高いほど、自身の呪殺属性スキルのダメージが上昇する
弓流し	自身の行動でプレスターンアイコンの消費が増加した場合、次の味方ターン開始時にアイコンが１個増加する
水先案内	自身の次に行動する味方は命中率が大きく上昇し、幻惑にかかっていても目標を見誤りにくくなる
忠犬	自身の次に行動する味方は弱点をついた時のダメージが上昇する
集中攻撃	直前に行動した味方が単体対象攻撃をしていた場合、同対象への攻撃時に命中率とクリティカル率が上昇する
カオスルーラー	相手のユニークスキルに影響を受けずに攻撃ができ、攻撃後、ユニークスキルによる反撃も受けない
緋緋色金光剣	自身にかかっている効果の種類が多いほど、自身の攻撃のクリティカル率とクリティカルダメージが上昇する
一撃必殺	自身の攻撃で弱点をつくかクリティカルが発生した時、確率で対象を瀕死にする
王の権威	自身の攻撃でクリティカルが発生した時、対象をストックに帰還させる
ビギナーズラック	自身が状態異常の対象を攻撃した時、ダメージが上昇する
悪夢継続	自身が睡眠状態の対象を攻撃しても睡眠が解除されない
国興し	味方に能力上昇効果を付与した時、確率で状態異常も回復する
国造り	味方に回復スキルを使用した時、確率で３ターンの間、対象のいずれかの能力を１段階上昇させる
癒しの手	味方のＨＰを回復した時、確率で状態異常も回復する
急所分析	自身の物理攻撃の命中率とクリティカル率が上昇する
移り気な乙女	ターン中、味方が既に８回行動している場合、自身の攻撃で与えるダメージが大幅に上昇する
三鈷杵	ターン中、味方の攻撃のヒット数が多いほど、自身の物理属性スキルのダメージが上昇する
爆炎の礫	ターン中、味方の攻撃のヒット数が多いほど、自身の火炎属性スキルのダメージが上昇する
轟音の水煙	ターン中、味方の攻撃のヒット数が多いほど、自身の氷結属性スキルのダメージが上昇する
絨毯雷撃	ターン中、味方の攻撃のヒット数が多いほど、自身の電撃属性スキルのダメージが上昇する
衝撃の災禍	ターン中、味方の攻撃のヒット数が多いほど、自身の衝撃属性スキルのダメージが上昇する
光焔車輪	ターン中、味方の攻撃のヒット数が多いほど、自身の破魔属性スキルのダメージが上昇する
怠惰の切り札	ターン中、味方の攻撃のヒット数が多いほど、自身の呪殺属性スキルのダメージが上昇する
無尽磔刑	ターン中、味方の攻撃のヒット数が多いほど、自身の万能属性スキルのダメージが上昇する
奉仕には恩恵を	自身が自身以外の味方からスキルによる能力上昇効果を受けた時、スキル使用者のＭＰを少量回復する
拡散の良気	自身がスキルによる能力低下効果を受けた時、１ターン中に１度だけ味方全体のＨＰが小回復し状態異常も回復
お心ちょーだい！	自身がスキルによる能力低下効果を受けた時、１ターン中に１度だけ、味方全体のＭＰが小回復する　
裁きの鉄槌	自身がスキルによる能力低下効果を受けた時、次の味方ターン開始時にプレスターンアイコンが１個増加する
乾坤圏	攻撃を耐性か無効で受けた時、確率で中威力の物理属性攻撃で反撃し、更に確率で瀕死にする
熱望の神秘	攻撃を耐性か無効で受けた時、確率で中威力の火炎属性攻撃で反撃し、更に確率で瀕死にする
和多志大神の怒り	攻撃を耐性か無効で受けた時、確率で中威力の氷結属性攻撃で反撃し、更に確率で瀕死にする
家守の獣雷	攻撃を耐性か無効で受けた時、確率で中威力の電撃属性攻撃で反撃し、更に確率で瀕死にする
野分	攻撃を耐性か無効で受けた時、確率で中威力の衝撃属性攻撃で反撃し、更に確率で瀕死にする
正義の断罪	攻撃を耐性か無効で受けた時、確率で中威力の破魔属性攻撃で反撃し、更に確率で瀕死にする
死門敲き	攻撃を耐性か無効で受けた時、確率で中威力の呪殺属性攻撃で反撃し、更に確率で瀕死にする
五色石の膠	攻撃を２回以上耐性か無効で受けた時、次の味方ターン開始時にプレスターンアイコンが１個増加する
ハニートラップ	攻撃を防御で受けた時、確率で特大威力の物理攻撃で反撃する
バイナルボム	貫通効果の攻撃によりＨＰにダメージを受けた時、万能属性攻撃による反撃で受けたダメージを相手にも与える
敵対するもの	状態異常を付加するスキルの対象となった時、特大威力の万能属性攻撃で反撃する
鋼鉄の純潔	自身の防御力が２段階上昇しているかつ防御中、相性を無視して貫通する効果を無効化する
天命のタブレット	自身への物理属性攻撃を確率で無効化する代わりに、自身の弱点への攻撃は回避できなくなる
疾風迅雷	自身の命中・回避率が上昇している時、クリティカル率が上昇する
スピードスター	自身より速が低い敵に対して魔法攻撃でも確率でクリティカルが発生する
神の戒心	味方ターン開始時、「破戒の腕」「破戒の翼」のいずれかが存在している場合、自身のＨＰが小回復する
持戒の意	味方ターン開始時、味方の「アブディエル」の能力低下を消去する
従器変換	味方ターン開始時、３ターンの間、自身の全能力が起動している「雷公従器」の数に応じた段階上昇する
